Model,Zero_Shot_0s,Zero_Shot_1s,Zero_Shot_2s,Zero_Shot_Accuracy,Few_Shot_0s,Few_Shot_1s,Few_Shot_2s,Few_Shot_Accuracy
qwen2.5-coder:3b,89,0,3,0.0,2,61,29,0.6630434782608695
qwen2.5-coder:7b,92,0,0,0.0,1,65,26,0.7065217391304348
qwen2.5-coder:14b,91,0,1,0.0,0,61,31,0.6630434782608695
qwen2.5:3b,87,0,5,0.0,1,25,66,0.2717391304347826
qwen2.5:7b,86,0,6,0.0,0,12,80,0.13043478260869565
qwen2.5:14b,81,0,11,0.0,0,75,17,0.8152173913043478
codellama:13b,91,0,1,0.0,49,16,27,0.17391304347826086
llama2:latest,87,0,5,0.0,47,13,32,0.14130434782608695
deepseek-r1:7b,86,0,6,0.0,15,0,77,0.0
deepseek-coder:6.7b,92,0,0,0.0,52,9,31,0.09782608695652174
gemma2,87,0,5,0.0,1,63,28,0.6847826086956522
codegemma,91,0,1,0.0,63,17,12,0.18478260869565216
